date,country,daily_cases,daily_deaths,daily_recovered,total_cases,total_deaths,total_recovered,active_cases
2020-03-01,USA,1750,10,822,1750,10,822,918
2020-03-02,USA,2046,16,898,3796,26,1720,2050
2020-03-03,USA,2452,12,1108,6248,38,2828,3382
2020-03-04,USA,2664,24,1353,8912,62,4181,4669
2020-03-05,USA,2239,18,1253,11151,80,5434,5637
2020-03-06,USA,2234,17,1114,13385,97,6548,6740
2020-03-07,USA,2893,25,1222,16278,122,7770,8386
2020-03-08,USA,3365,33,1686,19643,155,9456,10032
2020-03-09,USA,3708,33,1992,23351,188,11448,11715
2020-03-10,USA,4478,21,2018,27829,209,13466,14154
2020-03-11,USA,4163,22,1657,31992,231,15123,16638
2020-03-12,USA,3955,25,1967,35947,256,17090,18601
2020-03-13,USA,4133,30,2169,40080,286,19259,20535
2020-03-14,USA,3831,31,2723,43911,317,21982,21612
2020-03-15,USA,4758,36,2123,48669,353,24105,24211
2020-03-16,USA,6334,52,2234,55003,405,26339,28259
2020-03-17,USA,6715,51,2530,61718,456,28869,32393
2020-03-18,USA,7462,57,3089,69180,513,31958,36709
2020-03-19,USA,6342,39,3816,75522,552,35774,39196
2020-03-20,USA,5920,44,4138,81442,596,39912,40934
2020-03-21,USA,8226,51,4686,89668,647,44598,44423
2020-03-22,USA,8724,66,3645,98392,713,48243,49436
2020-03-23,USA,10615,109,4056,109007,822,52299,55886
2020-03-24,USA,10190,88,4020,119197,910,56319,61968
2020-03-25,USA,10836,154,3919,130033,1064,60238,68731
2020-03-26,USA,10619,105,5009,140652,1169,65247,74236
2020-03-27,USA,9222,104,5462,149874,1273,70709,77892
2020-03-28,USA,11414,77,8067,161288,1350,78776,81162
2020-03-29,USA,12588,131,5752,173876,1481,84528,87867
2020-03-30,USA,15175,135,7137,189051,1616,91665,95770
2020-03-31,USA,15932,166,7451,204983,1782,99116,104085
2020-04-01,USA,18720,272,8529,223703,2054,107645,114004
2020-04-02,USA,14963,150,11761,238666,2204,119406,117056
2020-04-03,USA,13085,175,11744,251751,2379,131150,118222
2020-04-04,USA,16434,170,12547,268185,2549,143697,121939
2020-04-05,USA,16418,208,11426,284603,2757,155123,126723
2020-04-06,USA,21495,345,9759,306098,3102,164882,138114
2020-04-07,USA,18990,214,11606,325088,3316,176488,145284
2020-04-08,USA,19389,354,13025,344477,3670,189513,151294
2020-04-09,USA,20019,290,13765,364496,3960,203278,157258
2020-04-10,USA,19697,196,14043,384193,4156,217321,162716
2020-04-11,USA,20111,307,17965,404304,4463,235286,164555
2020-04-12,USA,22935,359,14120,427239,4822,249406,173011
2020-04-13,USA,25958,407,11992,453197,5229,261398,186570
2020-04-14,USA,24704,260,16875,477901,5489,278273,194139
2020-04-15,USA,25152,381,17266,503053,5870,295539,201644
2020-04-16,USA,23093,338,20817,526146,6208,316356,203582
2020-04-17,USA,24266,306,20923,550412,6514,337279,206619
2020-04-18,USA,24249,438,16488,574661,6952,353767,213942
2020-04-19,USA,23391,403,18846,598052,7355,372613,218084
2020-04-20,USA,31743,373,17553,629795,7728,390166,231901
2020-04-21,USA,31236,483,15702,661031,8211,405868,246952
2020-04-22,USA,28713,514,21835,689744,8725,427703,253316
2020-04-23,USA,28289,525,24616,718033,9250,452319,256464
2020-04-24,USA,26938,565,27305,744971,9815,479624,255532
2020-04-25,USA,27891,553,25669,772862,10368,505293,257201
2020-04-26,USA,27630,589,19898,800492,10957,525191,264344
2020-04-27,USA,32454,601,27614,832946,11558,552805,268583
2020-04-28,USA,35185,387,26121,868131,11945,578926,277260
2020-04-29,USA,34418,640,23762,902549,12585,602688,287276
2020-04-30,USA,26972,563,29783,929521,13148,632471,283902
2020-05-01,USA,25212,598,27109,954733,13746,659580,281407
2020-05-02,USA,24060,422,26538,978793,14168,686118,278507
2020-05-03,USA,26934,428,30114,1005727,14596,716232,274899
2020-05-04,USA,35243,896,30734,1040970,15492,746966,278512
2020-05-05,USA,37363,722,30907,1078333,16214,777873,284246
2020-05-06,USA,30866,759,25228,1109199,16973,803101,289125
2020-05-07,USA,29134,661,27667,1138333,17634,830768,289931
2020-05-08,USA,25038,629,34253,1163371,18263,865021,280087
2020-05-09,USA,23539,768,27198,1186910,19031,892219,275660
2020-05-10,USA,28494,574,26729,1215404,19605,918948,276851
2020-05-11,USA,34170,765,23846,1249574,20370,942794,286410
2020-05-12,USA,30558,738,22021,1280132,21108,964815,294209
2020-05-13,USA,31406,725,21733,1311538,21833,986548,303157
2020-05-14,USA,18952,583,35570,1330490,22416,1022118,285956
2020-05-15,USA,22801,606,33957,1353291,23022,1056075,274194
2020-05-16,USA,21728,500,26164,1375019,23522,1082239,269258
2020-05-17,USA,23239,774,19935,1398258,24296,1102174,271788
2020-05-18,USA,26056,664,23970,1424314,24960,1126144,273210
2020-05-19,USA,21666,825,26602,1445980,25785,1152746,267449
2020-05-20,USA,22796,645,31898,1468776,26430,1184644,257702
2020-05-21,USA,20274,859,31303,1489050,27289,1215947,245814
2020-05-22,USA,19448,595,27569,1508498,27884,1243516,237098
2020-05-23,USA,16627,648,31563,1525125,28532,1275079,221514
2020-05-24,USA,17702,456,16377,1542827,28988,1291456,222383
2020-05-25,USA,19517,820,22549,1562344,29808,1314005,218531
2020-05-26,USA,21493,819,22456,1583837,30627,1336461,216749
2020-05-27,USA,18306,725,25046,1602143,31352,1361507,209284
2020-05-28,USA,14348,522,24763,1616491,31874,1386270,198347
2020-05-29,USA,13610,463,20375,1630101,32337,1406645,191119
2020-05-30,USA,12994,631,19962,1643095,32968,1426607,183520
2020-05-31,USA,14991,767,17853,1658086,33735,1444460,179891
2020-06-01,USA,13951,546,18247,1672037,34281,1462707,175049
2020-06-02,USA,14020,445,16548,1686057,34726,1479255,172076
2020-06-03,USA,12283,663,18546,1698340,35389,1497801,165150
2020-06-04,USA,9301,601,17231,1707641,35990,1515032,156619
2020-06-05,USA,9305,391,23713,1716946,36381,1538745,141820
2020-06-06,USA,9052,342,17097,1725998,36723,1555842,133433
2020-06-07,USA,9466,375,13744,1735464,37098,1569586,128780
2020-06-08,USA,9755,319,12089,1745219,37417,1581675,126127
2020-06-09,USA,8493,392,9450,1753712,37809,1591125,124778
2020-06-10,USA,8063,327,15663,1761775,38136,1606788,116851
2020-06-11,USA,6668,271,14379,1768443,38407,1621167,108869
2020-06-12,USA,5476,301,13080,1773919,38708,1634247,100964
2020-06-13,USA,5574,303,11870,1779493,39011,1646117,94365
2020-06-14,USA,6154,437,9389,1785647,39448,1655506,90693
2020-06-15,USA,7133,248,7537,1792780,39696,1663043,90041
2020-06-16,USA,5990,372,8230,1798770,40068,1671273,87429
2020-06-17,USA,5198,260,9809,1803968,40328,1681082,82558
2020-06-18,USA,4117,204,8190,1808085,40532,1689272,78281
2020-06-19,USA,2962,233,8392,1811047,40765,1697664,72618
2020-06-20,USA,3337,155,6690,1814384,40920,1704354,69110
2020-06-21,USA,3513,225,6699,1817897,41145,1711053,65699
2020-06-22,USA,4311,222,5238,1822208,41367,1716291,64550
2020-06-23,USA,3350,205,4486,1825558,41572,1720777,63209
2020-06-24,USA,2978,187,6595,1828536,41759,1727372,59405
2020-06-25,USA,2340,218,6344,1830876,41977,1733716,55183
2020-06-26,USA,1784,104,5284,1832660,42081,1739000,51579
2020-06-27,USA,2039,109,5090,1834699,42190,1744090,48419
2020-06-28,USA,2059,117,4406,1836758,42307,1748496,45955
2020-06-29,USA,2117,138,2554,1838875,42445,1751050,45380
2020-06-30,USA,1738,114,3223,1840613,42559,1754273,43781
2020-07-01,USA,1779,140,3517,1842392,42699,1757790,41903
2020-07-02,USA,1146,115,4425,1843538,42814,1762215,38509
2020-07-03,USA,1136,57,3272,1844674,42871,1765487,36316
2020-07-04,USA,1216,60,2753,1845890,42931,1768240,34719
2020-07-05,USA,998,83,2060,1846888,43014,1770300,33574
2020-07-06,USA,1072,83,1727,1847960,43097,1772027,32836
2020-07-07,USA,1082,81,1747,1849042,43178,1773774,32090
2020-07-08,USA,895,67,1399,1849937,43245,1775173,31519
2020-07-09,USA,674,35,2121,1850611,43280,1777294,30037
2020-07-10,USA,669,50,1819,1851280,43330,1779113,28837
2020-07-11,USA,600,59,1304,1851880,43389,1780417,28074
2020-07-12,USA,740,38,989,1852620,43427,1781406,27787
2020-07-13,USA,714,42,1158,1853334,43469,1782564,27301
2020-07-14,USA,868,39,1407,1854202,43508,1783971,26723
2020-07-15,USA,662,40,960,1854864,43548,1784931,26385
2020-07-16,USA,600,27,954,1855464,43575,1785885,26004
2020-07-17,USA,600,34,1019,1856064,43609,1786904,25551
2020-07-18,USA,530,25,977,1856594,43634,1787881,25079
2020-07-19,USA,691,17,605,1857285,43651,1788486,25148
2020-07-20,USA,859,16,590,1858144,43667,1789076,25401
2020-07-21,USA,717,19,548,1858861,43686,1789624,25551
2020-07-22,USA,805,18,642,1859666,43704,1790266,25696
2020-07-23,USA,742,19,693,1860408,43723,1790959,25726
2020-07-24,USA,738,12,968,1861146,43735,1791927,25484
2020-07-25,USA,680,13,656,1861826,43748,1792583,25495
2020-07-26,USA,807,15,561,1862633,43763,1793144,25726
2020-07-27,USA,1110,18,559,1863743,43781,1793703,26259
2020-07-28,USA,1185,27,429,1864928,43808,1794132,26988
2020-07-29,USA,1164,12,721,1866092,43820,1794853,27419
2020-07-30,USA,1093,11,818,1867185,43831,1795671,27683
2020-07-31,USA,976,15,675,1868161,43846,1796346,27969
2020-08-01,USA,1157,12,1019,1869318,43858,1797365,28095
2020-08-02,USA,1401,19,733,1870719,43877,1798098,28744
2020-08-03,USA,1535,20,655,1872254,43897,1798753,29604
2020-08-04,USA,2043,13,624,1874297,43910,1799377,31010
2020-08-05,USA,1824,18,863,1876121,43928,1800240,31953
2020-08-06,USA,1485,18,1077,1877606,43946,1801317,32343
2020-08-07,USA,1679,17,973,1879285,43963,1802290,33032
2020-08-08,USA,1617,15,1220,1880902,43978,1803510,33414
2020-08-09,USA,2245,20,979,1883147,43998,1804489,34660
2020-08-10,USA,2740,28,1112,1885887,44026,1805601,36260
2020-08-11,USA,2553,31,1230,1888440,44057,1806831,37552
2020-08-12,USA,2903,27,1284,1891343,44084,1808115,39144
2020-08-13,USA,2593,21,1662,1893936,44105,1809777,40054
2020-08-14,USA,2591,20,1974,1896527,44125,1811751,40651
2020-08-15,USA,3069,29,1900,1899596,44154,1813651,41791
2020-08-16,USA,3135,24,1494,1902731,44178,1815145,43408
2020-08-17,USA,3554,33,1475,1906285,44211,1816620,45454
2020-08-18,USA,3813,38,1452,1910098,44249,1818072,47777
2020-08-19,USA,3770,37,2377,1913868,44286,1820449,49133
2020-08-20,USA,3719,38,2542,1917587,44324,1822991,50272
2020-08-21,USA,3707,35,2351,1921294,44359,1825342,51593
2020-08-22,USA,4025,33,2520,1925319,44392,1827862,53065
2020-08-23,USA,5018,33,2594,1930337,44425,1830456,55456
2020-08-24,USA,5549,64,3000,1935886,44489,1833456,57941
2020-08-25,USA,6688,58,2631,1942574,44547,1836087,61940
2020-08-26,USA,5738,84,3016,1948312,44631,1839103,64578
2020-08-27,USA,6592,49,3893,1954904,44680,1842996,67228
2020-08-28,USA,5459,54,3631,1960363,44734,1846627,69002
2020-08-29,USA,5262,65,3782,1965625,44799,1850409,70417
2020-08-30,USA,6146,83,3190,1971771,44882,1853599,73290
2020-08-31,USA,8187,70,3711,1979958,44952,1857310,77696
2020-09-01,USA,8332,81,3791,1988290,45033,1861101,82156
2020-09-02,USA,8736,85,5292,1997026,45118,1866393,85515
2020-09-03,USA,7887,77,5959,2004913,45195,1872352,87366
2020-09-04,USA,7224,67,8083,2012137,45262,1880435,86440
2020-09-05,USA,7328,84,5827,2019465,45346,1886262,87857
2020-09-06,USA,8183,122,6534,2027648,45468,1892796,89384
2020-09-07,USA,10484,88,5342,2038132,45556,1898138,94438
2020-09-08,USA,12448,137,4873,2050580,45693,1903011,101876
2020-09-09,USA,11492,98,6099,2062072,45791,1909110,107171
2020-09-10,USA,9314,163,7627,2071386,45954,1916737,108695
2020-09-11,USA,9984,75,8133,2081370,46029,1924870,110471
2020-09-12,USA,10935,93,9491,2092305,46122,1934361,111822
2020-09-13,USA,11627,131,6809,2103932,46253,1941170,116509
2020-09-14,USA,14723,213,7725,2118655,46466,1948895,123294
2020-09-15,USA,15588,163,7961,2134243,46629,1956856,130758
2020-09-16,USA,13612,153,7762,2147855,46782,1964618,136455
2020-09-17,USA,14049,214,7929,2161904,46996,1972547,142361
2020-09-18,USA,13526,101,11223,2175430,47097,1983770,144563
2020-09-19,USA,15085,81,12463,2190515,47178,1996233,147104
2020-09-20,USA,17677,175,8920,2208192,47353,2005153,155686
2020-09-21,USA,16789,185,8626,2224981,47538,2013779,163664
2020-09-22,USA,18538,194,9967,2243519,47732,2023746,172041
2020-09-23,USA,20062,257,12100,2263581,47989,2035846,179746
2020-09-24,USA,18207,191,14906,2281788,48180,2050752,182856
2020-09-25,USA,17183,173,14606,2298971,48353,2065358,185260
2020-09-26,USA,23052,159,12588,2322023,48512,2077946,195565
2020-09-27,USA,21543,266,12958,2343566,48778,2090904,203884
2020-09-28,USA,25898,324,11787,2369464,49102,2102691,217671
2020-09-29,USA,27023,297,16820,2396487,49399,2119511,227577
2020-09-30,USA,25284,362,16422,2421771,49761,2135933,236077
2020-10-01,USA,21169,214,18079,2442940,49975,2154012,238953
2020-10-02,USA,21643,182,20503,2464583,50157,2174515,239911
2020-10-03,USA,20350,251,21182,2484933,50408,2195697,238828
2020-10-04,USA,24772,338,16724,2509705,50746,2212421,246538
2020-10-05,USA,27846,340,17161,2537551,51086,2229582,256883
